start,end,transition_type
4.041,4.051,nt
5.011,5.021,nt
5.241,5.301,rcx
5.601,6.141,mt
6.361,6.371,rlin
7.221,7.231,flin
7.271,7.401,mt
7.631,7.641,flin
7.711,7.721,rlin
8.441,8.471,flin
8.531,8.581,rlin
8.891,8.941,val
10.241,11.031,noise
11.191,11.201,flin
11.411,11.421,rlin
12.121,12.131,flin
12.181,12.191,rcx
12.441,12.451,nt
12.821,12.831,nt
12.931,12.941,fcx
13.041,13.441,noise
13.511,13.551,rlin
13.931,13.941,nt
14.181,14.191,rlin
14.291,14.301,flin
14.541,14.551,fcx
14.611,14.621,fcnv
15.341,15.391,val
15.481,15.891,mt
16.061,16.071,nt
17.001,17.071,rlin
17.271,17.281,flin
17.351,17.361,rlin
17.911,17.921,rlin
17.961,17.971,nt
18.081,18.221,val
18.321,18.331,flin
18.521,18.531,flin
18.571,18.581,rlin
20.001,20.871,hat
23.521,23.531,nt
24.561,24.571,nt
24.851,24.891,val
26.011,26.021,nt
27.021,27.031,nt
27.151,27.201,rcx
27.451,27.461,nt
27.511,27.531,rlin
28.351,28.361,nt
28.451,28.501,rcx
28.821,28.861,val
30.261,30.931,noise
31.091,31.101,flin
31.321,31.331,rlin
32.111,32.121,fcx
32.171,32.181,rlin
32.531,32.541,nt
32.711,32.721,nt
32.891,32.901,flin
33.041,33.511,hat
33.571,33.581,rlin
33.621,33.631,rlin
34.021,34.031,nt
34.281,34.291,nt
34.391,34.401,flin
34.701,34.711,fcnv
34.761,34.771,nt
36.231,36.241,flin
37.361,37.371,rcx
37.601,37.611,flin
37.671,37.681,rlin
38.251,38.261,fcx
38.311,38.321,rlin
38.421,38.431,flin
38.631,38.641,nt
38.851,38.861,flin
38.901,38.911,rcx
40.131,41.201,mt
41.441,41.721,hat
42.731,42.741,rlin
43.671,43.681,flin
43.731,43.741,rlin
43.941,43.951,rlin
44.021,44.031,fcnv
44.071,44.191,mt
45.311,45.331,mt
45.371,45.501,rcnv
45.841,46.351,mt
46.431,46.441,rlin
46.511,46.521,rlin
46.641,46.651,rcx
47.351,47.361,flin
47.521,47.691,val
48.081,48.091,nt
48.651,48.681,val
48.871,48.911,val
48.951,48.961,val
49.281,49.311,val
49.381,49.481,val
51.181,51.821,rcnv
51.961,51.981,hat
52.061,52.071,rlin
52.121,52.131,fcnv
53.811,54.231,mt
54.321,54.331,rcx
54.581,54.591,nt
54.641,54.651,nt
54.691,54.741,hat
55.441,55.451,nt
55.921,55.931,nt
55.981,56.031,rlin
56.571,56.981,rcnv
57.221,57.271,fcx
57.311,57.331,rcx
57.461,57.471,nt
57.681,57.691,nt
58.141,58.161,fcx
58.231,58.241,nt
58.351,58.361,nt
58.411,58.421,nt
58.631,58.641,nt
59.011,59.021,nt
59.111,59.121,nt
59.481,59.491,nt
59.651,59.781,rcx
59.861,59.971,mt
61.371,62.271,val
62.311,62.321,nt
62.481,62.511,rlin
62.621,62.671,val
63.671,63.681,nt
63.841,63.851,nt
64.471,64.901,rcnv
64.991,65.001,nt
65.071,65.081,nt
